,video_file_path,valid_movement,max_magnitude
0,./butterworth-filtered-videos/all_dataset/89e77526-5b8_video_M_mat_butter_low_pass.mp4,False,89.0419
0,./butterworth-filtered-videos/all_dataset/bbf76f30-b2d_video_M_mat_butter_low_pass.mp4,True,19.410465
0,./butterworth-filtered-videos/all_dataset/5fb17851-2b1_video_M_mat_butter_low_pass.mp4,False,125.53811
0,./butterworth-filtered-videos/all_dataset/6e517c30-5c8_video_M_mat_butter_low_pass.mp4,False,53.837944
0,./butterworth-filtered-videos/all_dataset/320f3407-422_video_M_mat_butter_low_pass.mp4,True,5.0047035
0,./butterworth-filtered-videos/all_dataset/41a60a0e-6f1_video_M_mat_butter_low_pass.mp4,True,10.942728
0,./butterworth-filtered-videos/all_dataset/e7483600-855_video_M_mat_butter_low_pass.mp4,True,3.9567192
0,./butterworth-filtered-videos/all_dataset/1c6a86e1-a6a_video_M_mat_butter_low_pass.mp4,False,59.00039
0,./butterworth-filtered-videos/all_dataset/02776765-da3_video_M_mat_butter_low_pass.mp4,False,52.93124
0,./butterworth-filtered-videos/all_dataset/f9f63f7b-61c_video_M_mat_butter_low_pass.mp4,False,62.090866
0,./butterworth-filtered-videos/all_dataset/2e702a2a-4fe_video_M_mat_butter_low_pass.mp4,True,2.1028225
0,./butterworth-filtered-videos/all_dataset/e9e31de7-6b6_video_M_mat_butter_low_pass.mp4,True,22.345469
0,./butterworth-filtered-videos/all_dataset/905bbce9-c6f_video_M_mat_butter_low_pass.mp4,False,105.13767
0,./butterworth-filtered-videos/all_dataset/cc2dcbf8-adb_video_M_mat_butter_low_pass.mp4,False,57.14613
0,./butterworth-filtered-videos/all_dataset/51461937-0c4_video_M_mat_butter_low_pass.mp4,False,57.06807
0,./butterworth-filtered-videos/all_dataset/62355674-201_video_M_mat_butter_low_pass.mp4,False,65.611435
0,./butterworth-filtered-videos/all_dataset/e0ddf601-a62_video_M_mat_butter_low_pass.mp4,True,43.91747
0,./butterworth-filtered-videos/all_dataset/c9de8f74-b95_video_M_mat_butter_low_pass.mp4,True,20.041904
0,./butterworth-filtered-videos/all_dataset/8a033f84-68c_video_M_mat_butter_low_pass.mp4,False,91.40506
0,./butterworth-filtered-videos/all_dataset/49363da9-7e4_video_M_mat_butter_low_pass.mp4,False,68.0494
0,./butterworth-filtered-videos/all_dataset/6c09dabe-0c3_video_M_mat_butter_low_pass.mp4,True,39.628662
0,./butterworth-filtered-videos/all_dataset/940dee01-1c2_video_M_mat_butter_low_pass.mp4,False,58.567482
0,./butterworth-filtered-videos/all_dataset/d3946477-7e4_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/ca4d4e8f-9df_video_M_mat_butter_low_pass.mp4,False,53.87959
0,./butterworth-filtered-videos/all_dataset/13a72a88-7b7_video_M_mat_butter_low_pass.mp4,False,inf
0,./butterworth-filtered-videos/all_dataset/6669665e-c9c_video_M_mat_butter_low_pass.mp4,True,12.80938
0,./butterworth-filtered-videos/all_dataset/eabc622b-2cb_video_M_mat_butter_low_pass.mp4,False,113.28245
0,./butterworth-filtered-videos/all_dataset/518da185-f1d_video_M_mat_butter_low_pass.mp4,False,58.329548
0,./butterworth-filtered-videos/all_dataset/238af56a-f8f_video_M_mat_butter_low_pass.mp4,True,31.147276
0,./butterworth-filtered-videos/all_dataset/58be2c6a-b4f_video_M_mat_butter_low_pass.mp4,False,65.98363
